行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
阿倍野区,阿倍野筋,１丁目,1番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,１丁目,2番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,１丁目,3番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,１丁目,4番,,,月木,,,火,,,金,,,,土,,
阿倍野区,阿倍野筋,１丁目,5番,あべのNINI,,火金,,,火,,,金,,,水,,,
阿倍野区,阿倍野筋,１丁目,6番,,,月木,,,火,,,金,,,,土,,
阿倍野区,阿倍野筋,１丁目,7番,あべのグラントゥール,,月木,,,火,,,金,,,水,,,
阿倍野区,阿倍野筋,２丁目,,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,３丁目,1番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,３丁目,2番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,３丁目,3番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,３丁目,4番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,３丁目,5番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,３丁目,6番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,３丁目,7番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,３丁目,8番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,３丁目,9番,,,月木,,,,金,,,火,,,金,,
阿倍野区,阿倍野筋,３丁目,10番,ベルタ,,,月木,,火,,,金,,,,火,,
阿倍野区,阿倍野筋,３丁目,12番,ベレーザ,,火金,,,火,,,金,,,,火,,
阿倍野区,阿倍野筋,３丁目,12番,クオレ,,,火金,,火,,,金,,,,火,,
阿倍野区,阿倍野筋,４丁目,1番,,,,月木,,金,,,火,,,,火,,
阿倍野区,阿倍野筋,４丁目,2番,,,,月木,,,金,,,火,,,火,,
阿倍野区,阿倍野筋,４丁目,3番,1~10号･13~17号,,,月木,,金,,,火,,,,火,,
阿倍野区,阿倍野筋,４丁目,3番,11号,,,月木,,,金,,,火,,,火,,
阿倍野区,阿倍野筋,４丁目,4番,1~10号･14~18号,,,月木,,金,,,火,,,,火,,
阿倍野区,阿倍野筋,４丁目,4番,11号･12号,,,月木,,,金,,,火,,,火,,
阿倍野区,阿倍野筋,４丁目,5番,1~11号･18号･19号,,月木,,,金,,,火,,,,火,,
阿倍野区,阿倍野筋,４丁目,5番,12号･13号,,月木,,,,金,,,火,,,火,,
阿倍野区,阿倍野筋,４丁目,6番,,,,月木,,金,,,火,,,,火,,
