行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
旭区,高殿,１丁目,軽四輪車(小さい車)で収集している地域,,,水土,,,,火,,,金,,,,火,
旭区,高殿,１丁目,上記以外,,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,1番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,火,,
旭区,高殿,２丁目,1番,上記以外,,水土,,,火,,,,金,,,火,,
旭区,高殿,２丁目,2番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,火,,
旭区,高殿,２丁目,2番,上記以外,,水土,,,火,,,,金,,,火,,
旭区,高殿,２丁目,3番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,火,,
旭区,高殿,２丁目,3番,上記以外,,水土,,,火,,,,金,,,火,,
旭区,高殿,２丁目,4番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,火,,
旭区,高殿,２丁目,4番,上記以外,,水土,,,火,,,,金,,,火,,
旭区,高殿,２丁目,5番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,火,,
旭区,高殿,２丁目,5番,上記以外,,水土,,,火,,,,金,,,火,,
旭区,高殿,２丁目,6番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,火,,
旭区,高殿,２丁目,6番,上記以外,,水土,,,火,,,,金,,,火,,
旭区,高殿,２丁目,7番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,,
旭区,高殿,２丁目,7番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,8番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,,
旭区,高殿,２丁目,8番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,9番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,,
旭区,高殿,２丁目,9番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,10番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,,
旭区,高殿,２丁目,10番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,11番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,11番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,12番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,12番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,13番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,13番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,14番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,14番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,15番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,15番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,16番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,16番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,17番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,17番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,18番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,18番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,19番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,19番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,20番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,20番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,２丁目,21番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,火,
旭区,高殿,２丁目,21番,上記以外,,水土,,,火,,,,金,,,,火,
旭区,高殿,３丁目,,,,火金,,,,月,,木,,,火,,,
旭区,高殿,４丁目,軽四輪車(小さい車)で収集している地域,,,,火金,,,月,,,木,,,火,,
旭区,高殿,４丁目,上記以外,,,火金,,,,月,,,木,,火,,,
旭区,高殿,５丁目,1番,,,水土,,,,月,,,木,,,,火,
旭区,高殿,５丁目,1番,市営高殿西住宅9号棟,,火金,,,,月,,,木,,,,火,
旭区,高殿,５丁目,2番,市営高殿西住宅8号棟,,火金,,,,月,,,木,,,,火,
旭区,高殿,５丁目,4番,,,水土,,,,月,,,木,,,,火,
旭区,高殿,５丁目,5番,,,水土,,,,月,,,木,,,,火,
