行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
中央区,安堂寺町,１丁目,,,,水土,,,金,,,火,,,月,,,木
中央区,安堂寺町,２丁目,,,,水土,,,,金,,,火,,,火,,
中央区,上本町西,１丁目,,,,月木,,,金,,,火,,金,,,,水
中央区,上本町西,２丁目,,,,月木,,,金,,,火,,金,,,,水
中央区,上本町西,３丁目,,,,月木,,,金,,,火,,金,,,,水
中央区,上本町西,４丁目,,,,,月木,,金,,,火,,,金,,,
中央区,上本町西,５丁目,,,,,月木,,金,,,火,,,金,,,
中央区,東平,１丁目,下記以外,,,,月木,,金,,,火,,,金,,,
中央区,東平,１丁目,パークスクエアリビオ上町台,,,,月木,,金,,,火,,,,,,
中央区,東平,２丁目,,,,,月木,,金,,,火,,,金,,,
中央区,上汐,１丁目,,,,,月木,,金,,,火,,,金,,,
中央区,上汐,２丁目,,,,,月木,,金,,,火,,,金,,,
中央区,中寺,１丁目,,,,,月木,,土,,,水,,,,火,,
中央区,中寺,２丁目,,,,,月木,,土,,,水,,,,火,,
中央区,松屋町,,1番,,,水土,,,,金,,,火,,,火,,
中央区,松屋町,,2番,,,水土,,,,金,,,火,,,火,,
中央区,松屋町,,3番,,,月木,,,土,,,水,,,火,,,
中央区,松屋町,,4番,,,月木,,,土,,,水,,,火,,,
中央区,松屋町,,5番,,,,月木,,土,,,水,,,火,,,
中央区,松屋町,,6番,,,,月木,,土,,,水,,,火,,,
中央区,松屋町,,7番,,,,月木,,土,,,水,,,火,,,
中央区,松屋町,,8番,,,水土,,,,金,,,火,,,火,,
中央区,松屋町,,9番,,,水土,,,,金,,,火,,,火,,
中央区,松屋町,,10番,,,水土,,,,金,,,火,,,火,,
中央区,瓦屋町,１丁目,1番,,,月木,,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,2番,,,月木,,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,3番,,,月木,,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,4番,,,月木,,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,5番,,,月木,,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,6番,,,月木,,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,7番,,,月木,,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,8番,,,月木,,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,9番,,,月木,,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,10番,,,,月木,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,11番,,,,月木,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,12番,,,,月木,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,13番,,,,月木,,土,,,水,,,火,,,
中央区,瓦屋町,１丁目,14番,,,,月木,,土,,,水,,,火,,,
中央区,瓦屋町,２丁目,1番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,2番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,3番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,4番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,5番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,6番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,7番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,8番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,9番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,10番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,11番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,12番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,13番,,,,月木,,土,,,水,,,,火,,
中央区,瓦屋町,２丁目,14番,,,,月木,,土,,,水,,,火,,,
中央区,瓦屋町,２丁目,15番,,,,月木,,土,,,水,,,火,,,
中央区,瓦屋町,２丁目,16番,,,,月木,,土,,,水,,,火,,,
