行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
福島区,福島,１丁目,1番,ザ･タワー大阪,,火金,,,金,,,火,,,,,金,
福島区,福島,１丁目,1番,ザ･タワー大阪以外,,月木,,,金,,,火,,,金,,,
福島区,福島,１丁目,2番,,,月木,,,金,,,火,,,金,,,
福島区,福島,１丁目,3番,,,月木,,,金,,,火,,,金,,,
福島区,福島,１丁目,4番,,,月木,,,金,,,火,,,金,,,
福島区,福島,１丁目,5番,,,月木,,,金,,,火,,,金,,,
福島区,福島,１丁目,6番,,,月木,,,金,,,火,,,金,,,
福島区,福島,１丁目,7番,,,月木,,,金,,,火,,,金,,,
福島区,福島,２丁目,1番,,,月木,,金,,,火,,,,金,,,
福島区,福島,２丁目,2番,,,月木,,金,,,火,,,,金,,,
福島区,福島,２丁目,3番,,,月木,,金,,,火,,,,金,,,
福島区,福島,２丁目,4番,,,月木,,金,,,火,,,,金,,,
福島区,福島,２丁目,5番,,,月木,,金,,,火,,,,金,,,
福島区,福島,２丁目,6番,,,月木,,金,,,火,,,,金,,,
福島区,福島,２丁目,7番,,,月木,,金,,,火,,,,金,,,
福島区,福島,２丁目,8番,,,月木,,金,,,火,,,,金,,,
福島区,福島,２丁目,9番,,,月木,,金,,,火,,,,金,,,
福島区,福島,２丁目,10番,,,月木,,金,,,火,,,,金,,,
福島区,福島,３丁目,1番,クレヴィアタワー中之島,,火金,,,金,,,火,,,,,金,
福島区,福島,３丁目,2番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,3番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,4番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,5番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,6番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,7番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,8番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,9番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,10番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,11番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,12番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,13番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,14番,,,月木,,,金,,,火,,,金,,,
福島区,福島,３丁目,上記以外,,,月木,,,金,,,火,,,金,,,
福島区,福島,４丁目,,,,月木,,金,,,火,,,,金,,,
福島区,福島,５丁目,,,,月木,,,金,,,火,,,金,,,
福島区,福島,６丁目,1番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,６丁目,2番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,3番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,4番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,5番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,6番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,7番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,8番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,9番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,10番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,11番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,12番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,13番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,14番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,15番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,16番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,17番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,18番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,19番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,20番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,21番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,22番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,23番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,24番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,６丁目,25番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,７丁目,1番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,2番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,3番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,4番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,5番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,6番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,7番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,8番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,9番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,10番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,11番,,,月木,,,金,,,火,,,,,金,水
福島区,福島,７丁目,12番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,７丁目,13番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,７丁目,14番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,７丁目,15番,,,月木,,,,土,,,水,,,,水,金
福島区,福島,７丁目,16番,,,月木,,,,土,,,水,,,,水,金
