行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
東成区,中道,１丁目,1番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,2番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,3番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,4番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,5番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,6番,2~4号,,月木,,,,火,,,金,,,火,,土
東成区,中道,１丁目,6番,上記以外,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,7番,10~15号,,月木,,,,火,,,金,,,火,,土
東成区,中道,１丁目,7番,上記以外,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,8番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,9番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,10番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,11番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,１丁目,12番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,２丁目,1番,,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,2番,,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,3番,,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,4番,14~16号,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,4番,上記以外,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,5番,,,月木,,,火,,,金,,,火,,,土
東成区,中道,２丁目,6番,,,月木,,,火,,,金,,,火,,,土
東成区,中道,２丁目,7番,5~6号,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,7番,上記以外,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,8番,8~13号,,月木,,,,火,,,金,,,火,,土
東成区,中道,２丁目,8番,上記以外,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,9番,,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,10番,10号,,,月木,,,火,,,金,,,火,,土
東成区,中道,２丁目,10番,上記以外,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,11番,1~4号,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,11番,上記以外,,月木,,,火,,,金,,,火,,,土
東成区,中道,２丁目,12番,9~11号,,月木,,,火,,,金,,,火,,,土
東成区,中道,２丁目,12番,上記以外,,,月木,,火,,,金,,,火,,,土
東成区,中道,２丁目,13番,8号,,,月木,,火,,,金,,,火,,,土
東成区,中道,２丁目,13番,上記以外,,月木,,,火,,,金,,,火,,,土
東成区,中道,２丁目,14番,,,月木,,,火,,,金,,,火,,,土
東成区,中道,２丁目,15番,7~15号,,月木,,,,火,,,金,,,火,,土
東成区,中道,２丁目,15番,上記以外,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,16番,8･10･12号,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,16番,上記以外,,,月木,,,火,,,金,,,火,,土
東成区,中道,２丁目,17番,13~15号,,,月木,,火,,,金,,,火,,,土
東成区,中道,２丁目,17番,上記以外,,月木,,,火,,,金,,,火,,,土
東成区,中道,２丁目,18番,2･4号,,,月木,,,火,,,金,,,火,,土
東成区,中道,２丁目,18番,上記以外,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,19番,2~3･5･20~25号,,,月木,,,火,,,金,,,火,,土
東成区,中道,２丁目,19番,上記以外,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,20番,11~16号,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,20番,上記以外,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,21番,7･9･11~12号,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,21番,上記以外,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,22番,7･9･11号,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,22番,上記以外,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,23番,12~13号,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,23番,上記以外,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,24番,11~12号,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,24番,サンヴェール森ノ宮,,月木,,,火,,,金,,,土,,,土
東成区,中道,２丁目,24番,上記以外,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,25番,14~18号,,月木,,,火,,,金,,,,火,,土
東成区,中道,２丁目,25番,上記以外,,,月木,,火,,,金,,,,火,,土
東成区,中道,２丁目,26番,13~16号,,月木,,,,火,,,金,,火,,,土
東成区,中道,２丁目,26番,上記以外,,,月木,,火,,,金,,,火,,,土
東成区,中道,２丁目,27番,6~12号,,月木,,,,火,,,金,,火,,,土
東成区,中道,２丁目,27番,上記以外,,月木,,,火,,,金,,,火,,,土
東成区,中道,２丁目,28番,13~16号,,月木,,,,火,,,金,,火,,,土
東成区,中道,２丁目,28番,上記以外,,月木,,,火,,,金,,,火,,,土
東成区,中道,３丁目,1番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,2番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,3番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,4番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,5番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,6番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,7番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,8番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,9番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,10番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,11番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,12番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,13番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,14番,14号,,月木,,,火,,,金,,,火,,,土
東成区,中道,３丁目,14番,上記以外,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,15番,20･25･28号,,月木,,,火,,,金,,,火,,,土
東成区,中道,３丁目,15番,上記以外,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,16番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,３丁目,17番,,,月木,,,,火,,,金,,火,,,土
東成区,中道,４丁目,1番,,,月木,,,,火,,,金,,,火,,土
東成区,中道,４丁目,2番,5~10号,,月木,,,,火,,,金,,火,,,土
東成区,中道,４丁目,2番,上記以外,,月木,,,,火,,,金,,,火,,土
