行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
東住吉区,今林,１丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,今林,２丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,今林,３丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,今林,４丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,杭全,１丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,杭全,２丁目,,,,月木,,,,火,,,金,,,,水,
東住吉区,杭全,３丁目,,,,月木,,,,火,,,金,,,,水,
東住吉区,杭全,４丁目,,,,月木,,,,火,,,金,,,,水,
東住吉区,杭全,５丁目,,,,月木,,,,火,,,金,,,,水,
東住吉区,杭全,６丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,杭全,７丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,杭全,８丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,１丁目,,,,月木,,,,火,,,金,,,,水,
東住吉区,今川,２丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,３丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,４丁目,,,,,月木,,,水,,,土,,木,,,
東住吉区,今川,５丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,６丁目,,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,７丁目,,,,,月木,,,水,,,土,,木,,,
東住吉区,今川,８丁目,1番,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,８丁目,2番,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,８丁目,3番,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,８丁目,4番,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,８丁目,5番,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,８丁目,6番,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,８丁目,7番,,,月木,,,,火,,,金,,,,月,
東住吉区,今川,８丁目,8番,,,月木,,,,水,,,土,,木,,,
東住吉区,今川,８丁目,9番,,,月木,,,,水,,,土,,木,,,
東住吉区,今川,８丁目,10番,,,月木,,,,水,,,土,,木,,,
東住吉区,今川,８丁目,11番,,,月木,,,,水,,,土,,木,,,
東住吉区,今川,８丁目,12番,,,月木,,,,水,,,土,,木,,,
東住吉区,中野,１丁目,,,,,月木,,,水,,,土,,,木,,
東住吉区,中野,２丁目,,,,月木,,,,水,,,土,,,木,,
東住吉区,中野,３丁目,,,,火金,,,,月,,,木,,土,,,
東住吉区,中野,４丁目,1番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,2番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,3番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,4番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,5番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,6番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,7番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,8番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,9番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,10番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,11番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,12番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,13番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,14番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,15番,,,火金,,,月,,,木,,,,月,,
東住吉区,中野,４丁目,16番,軽四輪車(小さい車)で収集している地域,,,火金,,,月,,,木,,,月,,
東住吉区,中野,４丁目,16番,上記以外,,,火金,,月,,,木,,,,月,,
東住吉区,中野,４丁目,17番,軽四輪車(小さい車)で収集している地域,,,火金,,,月,,,木,,,月,,
東住吉区,中野,４丁目,17番,上記以外,,,火金,,月,,,木,,,,月,,
東住吉区,桑津,１丁目,,,,火金,,,月,,,木,,,月,,,
東住吉区,桑津,２丁目,,,,火金,,,,月,,,木,,月,,,
東住吉区,桑津,３丁目,1番,軽四輪車(小さい車)で収集している地域,,火金,,,月,,,木,,,月,,,
東住吉区,桑津,３丁目,1番,上記以外,,火金,,,,月,,,木,,月,,,
東住吉区,桑津,３丁目,2番,軽四輪車(小さい車)で収集している地域,,火金,,,月,,,木,,,月,,,
東住吉区,桑津,３丁目,2番,上記以外,,火金,,,,月,,,木,,月,,,
東住吉区,桑津,３丁目,3番,軽四輪車(小さい車)で収集している地域,,火金,,,月,,,木,,,月,,,
東住吉区,桑津,３丁目,3番,上記以外,,火金,,,,月,,,木,,月,,,
東住吉区,桑津,３丁目,4番,軽四輪車(小さい車)で収集している地域,,火金,,,月,,,木,,,月,,,
東住吉区,桑津,３丁目,4番,上記以外,,火金,,,,月,,,木,,月,,,
東住吉区,桑津,３丁目,5番,軽四輪車(小さい車)で収集している地域,,火金,,,月,,,木,,,月,,,
