行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
東淀川区,井高野,１丁目,,,,,火金,,,月,,,木,,,月,,
東淀川区,井高野,２丁目,,,,,火金,,,月,,,木,,,月,,
東淀川区,井高野,３丁目,,,,,火金,,,月,,,木,,,月,,
東淀川区,井高野,４丁目,,,,,火金,,,月,,,木,,,月,,
東淀川区,北江口,１丁目,,,,,火金,,,月,,,木,,,月,,
東淀川区,北江口,２丁目,,,,,火金,,,月,,,木,,,月,,
東淀川区,北江口,３丁目,,,,,火金,,,月,,,木,,,月,,
東淀川区,北江口,４丁目,,,,,火金,,,月,,,木,,,月,,
東淀川区,南江口,１丁目,,,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,２丁目,,,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,1番,,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,2番,27~43号,,月木,,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,2番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,3番,22~25号,,月木,,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,3番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,4番,5~10号･49~52号･59号,,月木,,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,4番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,5番,,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,6番,22号･24号,,月木,,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,6番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,7番,1号,,月木,,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,7番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,8番,,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,9番,12~18号,,月木,,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,9番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,10番,23~30号,,月木,,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,10番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,11番,13~15号,,月木,,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,11番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,12番,7~15号,,月木,,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,12番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,13番,,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,14番,,,,月木,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,15番,61~63号,,月木,,,,水,,,土,,,火,,
東淀川区,南江口,３丁目,15番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,相川,１丁目,1番,,,,月木,,水,,,土,,,,月,,
東淀川区,相川,１丁目,2番,,,,月木,,水,,,土,,,,月,,
東淀川区,相川,１丁目,3番,,,,月木,,水,,,土,,,,月,,
東淀川区,相川,１丁目,4番,,,,月木,,水,,,土,,,,月,,
東淀川区,相川,１丁目,5番,,,,月木,,水,,,土,,,,月,,
東淀川区,相川,１丁目,6番,,,,月木,,水,,,土,,,,月,,
東淀川区,相川,１丁目,7番,,,,月木,,水,,,土,,,,月,,
東淀川区,相川,１丁目,8番,,,,月木,,,水,,,土,,,月,,
東淀川区,相川,１丁目,9番,,,,月木,,,水,,,土,,,月,,
東淀川区,相川,１丁目,10番,1~14号･19号,,月木,,,,水,,,土,,,月,,
東淀川区,相川,１丁目,10番,16~18号,,,月木,,,水,,,土,,,月,,
東淀川区,相川,２丁目,,,,,月木,,水,,,土,,,,月,,
東淀川区,相川,３丁目,,,,,月木,,水,,,土,,,,月,,
東淀川区,小松,１丁目,1番,14号,,月木,,,,水,,,土,,,火,,
東淀川区,小松,１丁目,1番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,小松,１丁目,2番,14号,,月木,,,,水,,,土,,,火,,
東淀川区,小松,１丁目,2番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,小松,１丁目,3番,1号,,月木,,,,水,,,土,,,火,,
東淀川区,小松,１丁目,3番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,小松,１丁目,4番,9~17号･20~27号,,月木,,,,水,,,土,,,火,,
東淀川区,小松,１丁目,4番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,小松,１丁目,5番,12号,,月木,,,,水,,,土,,,火,,
東淀川区,小松,１丁目,5番,上記以外,,,月木,,,水,,,土,,,火,,
東淀川区,小松,１丁目,6番,,,,月木,,水,,,土,,,,火,,
東淀川区,小松,１丁目,7番,,,,月木,,水,,,土,,,,火,,
東淀川区,小松,１丁目,8番,,,,月木,,,水,,,土,,,火,,
東淀川区,小松,１丁目,9番,24~37号,,月木,,,,水,,,土,,,火,,
東淀川区,小松,１丁目,9番,上記以外,,,月木,,,水,,,土,,,火,,
