行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
平野区,平野馬場,１丁目,,,,月木,,,火,,,金,,,,,金,土
平野区,平野馬場,２丁目,1番,,,月木,,,,火,,,金,,,,金,
平野区,平野馬場,２丁目,2番,,,月木,,,,火,,,金,,,金,,
平野区,平野馬場,２丁目,3番,,,月木,,,,火,,,金,,,金,,
平野区,平野馬場,２丁目,4番,,,月木,,,,火,,,金,,,金,,
平野区,平野馬場,２丁目,5番,,,月木,,,,火,,,金,,,金,,
平野区,平野馬場,２丁目,6番,,,月木,,,,火,,,金,,,,金,土
平野区,平野馬場,２丁目,7番,,,月木,,,,火,,,金,,,,金,土
平野区,平野北,１丁目,,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,1番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,2番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,3番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,4番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,5番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,6番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,7番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,8番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,9番,,,月木,,,火,,,金,,,,火,,
平野区,平野北,２丁目,10番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,11番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,12番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,13番,,,月木,,,火,,,金,,,,,火,土
平野区,平野北,２丁目,14番,,,月木,,,火,,,金,,,,,火,土
平野区,西脇,１丁目,,,,月木,,,,火,,,金,,,金,,
平野区,西脇,２丁目,,,,月木,,,,火,,,金,,,金,,
平野区,西脇,３丁目,1番,,,月木,,,,火,,,金,,,金,,
平野区,西脇,３丁目,2番,,,月木,,,,火,,,金,,,金,,
平野区,西脇,３丁目,3番,,,月木,,,,火,,,金,,,金,,
平野区,西脇,３丁目,4番,,,月木,,,,火,,,金,,,,金,土
平野区,西脇,３丁目,5番,,,月木,,,,火,,,金,,,金,,
平野区,西脇,３丁目,6番,,,月木,,,,火,,,金,,,金,,
平野区,西脇,３丁目,7番,,,月木,,,,火,,,金,,,金,,
平野区,西脇,３丁目,8番,1号･2号･5号･13号,,月木,,,,火,,,金,,,,金,土
平野区,西脇,３丁目,8番,3号~4号･6号~12号･14号~32号,,月木,,,,火,,,金,,,金,,
平野区,西脇,４丁目,,,,月木,,,,火,,,金,,,金,,
平野区,平野元町,,,,,月木,,,,火,,,金,,,,火,土
平野区,平野上町,１丁目,1番,,,月木,,,,火,,,金,,,,金,土
平野区,平野上町,１丁目,2番,,,月木,,,,火,,,金,,,金,,
平野区,平野上町,１丁目,3番,,,月木,,,,火,,,金,,,金,,
平野区,平野上町,１丁目,4番,,,月木,,,,火,,,金,,,,金,土
平野区,平野上町,１丁目,5番,,,月木,,,,火,,,金,,,,金,土
