行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
生野区,鶴橋,１丁目,1番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,2番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,3番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,4番,2~4号,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,4番,5~11号,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,１丁目,4番,14~20号,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,5番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,6番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,7番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,8番,5~11号,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,１丁目,8番,上記以外,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,9番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,10番,1~3号,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,１丁目,10番,5~15号,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,１丁目,10番,18~27号,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,1番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,2番,,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,２丁目,3番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,4番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,5番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,6番,,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,２丁目,7番,,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,２丁目,8番,,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,２丁目,9番,,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,２丁目,10番,,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,２丁目,11番,,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,２丁目,12番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,13番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,14番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,15番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,16番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,17番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,18番,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,２丁目,19番,,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,２丁目,20番,,,月木,,,土,,,水,,,,,金,
生野区,鶴橋,３丁目,,,,月木,,,金,,,火,,,,,金,
生野区,鶴橋,４丁目,1番,,,月木,,,金,,,火,,,,,金,
