行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
城東区,今福西,１丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,木,,,月,,,水,,,土
城東区,今福西,１丁目,上記以外,,,,火金,,木,,,月,,水,,,,土
城東区,今福西,２丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,木,,,月,,,水,,,土
城東区,今福西,２丁目,上記以外,,火金,,,,木,,,月,,水,,,,土
城東区,今福西,３丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,,土,,,水,,,木,,月
城東区,今福西,３丁目,上記以外,,,,火金,,,土,,,水,,,木,,月
城東区,今福西,４丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,,土,,,水,,,木,,月
城東区,今福西,４丁目,上記以外,,,,火金,,,土,,,水,,,木,,月
城東区,今福西,５丁目,軽四輪車(小さい車)で収集している地域,,火金,,,,,土,,,水,,,木,,月
城東区,今福西,５丁目,上記以外,,,,火金,,,土,,,水,,,木,,月
城東区,今福西,６丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,,土,,,水,,,木,,月
城東区,今福西,６丁目,上記以外,,,,火金,,,土,,,水,,,木,,月
城東区,今福東,１丁目,,,火金,,,月,,,,木,,水,,,,
城東区,今福東,２丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,,月,,,木,,,木,,
城東区,今福東,２丁目,上記以外,,,火金,,月,,,木,,,,,木,,
城東区,今福東,３丁目,,,,火金,,,,月,,,木,,,木,,
城東区,今福南,１丁目,8番5号ドムス蒲生,,,月木,,,,土,,,水,,,,水,火
城東区,今福南,１丁目,上記以外,,,月木,,,,土,,,水,,,,水,金
城東区,今福南,２丁目,,,,月木,,,,土,,,水,,,,水,金
城東区,今福南,３丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,,土,,,水,,,,水,木
城東区,今福南,３丁目,上記以外,,,月木,,,,土,,,水,,,,水,金
城東区,今福南,４丁目,,,,月木,,,,土,,,水,,,,水,金
城東区,蒲生,１丁目,軽四輪車(小さい車)で収集している地域,,,,火金,,木,,,月,,,木,,,火
城東区,蒲生,１丁目,上記以外,,,水土,,,木,,,月,,,木,,,水
城東区,蒲生,２丁目,,,,水土,,,木,,,月,,木,,,,
城東区,蒲生,３丁目,軽四輪車(小さい車)で収集している地域,,,,火金,,木,,,月,,,,木,,水
