行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
北区,池田町,,1番,75号,,火金,,,,木,,,月,,木,,,
北区,池田町,,1番,ローレルハイツ北天満,,月木,,,,木,,,月,,,,,
北区,池田町,,1番,上記以外,,火金,,,木,,,月,,,木,,,
北区,池田町,,上記以外,,,火金,,,木,,,月,,,木,,,
北区,浮田,１丁目,天五中崎通商店街のみ,,,水土,,,,金,,,火,,,,金,
北区,浮田,１丁目,上記以外,,,,水土,,,金,,,火,,,,金,
北区,浮田,２丁目,,,,,水土,,,金,,,火,,,,金,
北区,梅田,１丁目,,,,水土,,,金,,,火,,,,土,,
北区,梅田,２丁目,,,,水土,,,金,,,火,,,,土,,
北区,梅田,３丁目,,,,水土,,,金,,,火,,,,土,,
北区,扇町,１丁目,,,,水土,,,金,,,火,,,,金,,
北区,扇町,２丁目,,,,水土,,,金,,,火,,,,,金,
北区,大深町,,,,,月木,,,金,,,火,,,,金,,
北区,大淀北,１丁目,,,,月木,,,,土,,,水,,,,土,金
北区,大淀北,２丁目,,,,,月木,,,土,,,水,,,,土,金
北区,大淀中,１丁目,,,,,月木,,,土,,,水,,,,土,金
北区,大淀中,２丁目,,,,,月木,,,土,,,水,,,,土,金
北区,大淀中,３丁目,1番,1･2･15~25号,,月木,,,,土,,,水,,,,土,金
北区,大淀中,３丁目,1番,6~14号,,,月木,,,土,,,水,,,,土,金
北区,大淀中,３丁目,2番,1~5･16~27号,,月木,,,,土,,,水,,,,土,金
北区,大淀中,３丁目,2番,6･15号,月木,,,,,土,,,水,,,,土,金
北区,大淀中,３丁目,2番,7~14号,,,月木,,,土,,,水,,,,土,金
北区,大淀中,３丁目,3番,2~6号･18~25号,,月木,,,,土,,,水,,,,土,金
北区,大淀中,３丁目,3番,7~16号,,,月木,,,土,,,水,,,,土,金
北区,大淀中,３丁目,4番,3号･14~19号,,月木,,,,土,,,水,,,,土,金
北区,大淀中,３丁目,4番,4~13号,,,月木,,,土,,,水,,,,土,金
北区,大淀中,３丁目,5番,,,月木,,,,土,,,水,,,,土,金
北区,大淀中,３丁目,6番,,,月木,,,,土,,,水,,,,土,金
北区,大淀中,３丁目,7番,,,月木,,,,土,,,水,,,,土,金
北区,大淀中,３丁目,8番,,,,月木,,,土,,,水,,,,土,金
北区,大淀中,３丁目,9番,,,,月木,,,土,,,水,,,,土,金
