行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
北区,池田町,,1番,75号,,火金,,,,木,,,月,,,,,
北区,池田町,,1番,ローレルハイツ北天満,,月木,,,,木,,,月,,,,,
北区,池田町,,1番,上記以外,,火金,,,木,,,月,,,木,,,
北区,池田町,,2番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,3番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,4番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,5番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,6番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,7番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,8番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,9番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,10番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,11番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,12番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,13番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,14番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,15番,,,火金,,,木,,,月,,,木,,,
北区,池田町,,16番,,,火金,,,木,,,月,,,,,,
北区,池田町,,17番,,,火金,,,木,,,月,,,木,,,
北区,浮田,１丁目,1番,,,,水土,,,金,,,火,,,,金,
北区,浮田,１丁目,2番,,,,水土,,,金,,,火,,,,金,
北区,浮田,１丁目,3番,,,,水土,,,金,,,火,,,,金,
北区,浮田,１丁目,4番,,,,水土,,,金,,,火,,,,金,
北区,浮田,１丁目,5番,,,,水土,,,金,,,火,,,,金,
北区,浮田,１丁目,6番,,,,水土,,,金,,,火,,,,金,
北区,浮田,１丁目,天五中崎通商店街のみ,,,水土,,,,金,,,火,,,,金,
北区,浮田,１丁目,上記以外,,,,水土,,,金,,,火,,,,金,
北区,浮田,２丁目,1番,,,,水土,,,金,,,火,,,,金,
北区,浮田,２丁目,2番,,,,水土,,,金,,,火,,,,金,
北区,浮田,２丁目,3番,,,,水土,,,金,,,火,,,,金,
北区,浮田,２丁目,4番,,,,水土,,,金,,,火,,,,金,
北区,浮田,２丁目,5番,,,,水土,,,金,,,火,,,,金,
北区,浮田,２丁目,6番,,,,水土,,,金,,,火,,,,金,
北区,浮田,２丁目,7番,,,,水土,,,金,,,火,,,金,,
北区,梅田,１丁目,1番,,,水土,,,金,,,火,,,,土,,
北区,梅田,１丁目,2番,,,水土,,,金,,,火,,,,土,,
北区,梅田,１丁目,3番,,,水土,,,金,,,火,,,,土,,
北区,梅田,１丁目,4番,,,水土,,,金,,,火,,,,土,,
北区,梅田,１丁目,5番,,,水土,,,金,,,火,,,,土,,
北区,梅田,１丁目,6番,,,水土,,,金,,,火,,,,土,,
北区,梅田,１丁目,7番,,,水土,,,金,,,火,,,,土,,
北区,梅田,１丁目,8番,,,水土,,,金,,,火,,,,土,,
