行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
此花区,梅町,２丁目,1番,,,水土,,,土,,,水,,,,火,,
此花区,桜島,３丁目,2番,,,水土,,,土,,,水,,,,,,
此花区,桜島,３丁目,3番,,,水土,,,土,,,水,,,,,,
此花区,桜島,３丁目,4番,,,水土,,,土,,,水,,,,,,
此花区,桜島,３丁目,5番,,,水土,,,土,,,水,,,,火,,
此花区,桜島,３丁目,6番,市営桜島住宅,,水土,,,土,,,水,,,,,,
此花区,桜島,３丁目,6番,桜島住宅,,水土,,,土,,,水,,,,火,,
此花区,桜島,３丁目,7番,,,水土,,,土,,,水,,,,火,,
此花区,北港,２丁目,1番,,,水土,,,土,,,水,,,,,,
此花区,北港,２丁目,2番,,,水土,,,土,,,水,,,,,,
此花区,北港,２丁目,4番,,,水土,,,土,,,水,,,,,,
此花区,常吉,１丁目,1番,,,,火金,,,土,,水,,,,,,
此花区,常吉,２丁目,2番,,,,火金,,,土,,水,,,,,,
此花区,常吉,２丁目,11番,,,,火金,,,土,,水,,,,,,
此花区,西九条,１丁目,軽四輪車(小さい車)で収集している地域,,,,水土,,金,,,火,,,,火,,
此花区,西九条,１丁目,上記以外,,,水土,,,,金,,,火,,,火,,
此花区,西九条,２丁目,,,,,水土,,,金,,,火,,,火,,
此花区,西九条,３丁目,,,,水土,,金,,,火,,,,,火,,
此花区,西九条,４丁目,,,,,水土,金,,,火,,,,,火,,
此花区,西九条,５丁目,3番,市営木場住宅1棟~17棟,,水土,,,金,,,火,,,,火,,
此花区,西九条,５丁目,上記以外,,,水土,,金,,,火,,,,,火,,
此花区,西九条,６丁目,1番,グランメゾン西九条BIO,,,月木,,金,,,火,,,,,,
此花区,西九条,６丁目,上記以外,,,,水土,,,金,,,火,,,火,,
此花区,高見,１丁目,1番,此花厚生年金住宅1号棟,,,水土,,,金,,,火,,,金,,
此花区,高見,１丁目,3番,セントラルスクエア31,,月木,,,,木,,,月,,,水,,
此花区,高見,１丁目,3番,ブロッサムコート32,,月木,,,,木,,,月,,,,,
此花区,高見,１丁目,3番,グランコート33,,水土,,,,木,,,月,,,金,,
此花区,高見,１丁目,3番,テオコート34,,水土,,,,木,,,月,,,,,
此花区,高見,１丁目,3番,コーシャハイツ高見36号棟,,,火金,,,木,,,月,,,水,,
此花区,高見,１丁目,3番,コーシャハイツ高見37号棟,,,火金,,,木,,,月,,,水,,
此花区,高見,１丁目,3番,コーシャハイツ高見38号棟,,,火金,,,木,,,月,,,水,,
此花区,高見,１丁目,4番,市営高見住宅51号棟,,,火金,,,木,,,月,,,金,,
此花区,高見,１丁目,4番,市営高見住宅52号棟,,,火金,,,木,,,月,,,金,,
此花区,高見,１丁目,4番,市営高見住宅57号棟,,,火金,,,木,,,月,,,,,
此花区,高見,１丁目,4番,高見フローラルタウン54号棟,,,月木,,,木,,,月,,,金,,
此花区,高見,１丁目,4番,高見フローラルタウン55号棟,,,月木,,,木,,,月,,,金,,
此花区,高見,１丁目,4番,高見フローラルタウン56号棟,,,月木,,,木,,,月,,,金,,
此花区,高見,１丁目,5番,市営高見住宅41号棟,,,火金,,,木,,,月,,,金,,
此花区,高見,１丁目,5番,市営高見住宅43号棟,,,火金,,,木,,,月,,,金,,
此花区,高見,１丁目,5番,市営高見住宅44号棟,,,火金,,,木,,,月,,,金,,
此花区,高見,１丁目,5番,高見フローラルタウン45号棟,,月木,,,,木,,,月,,,金,,
此花区,高見,１丁目,5番,高見フローラルタウン46号棟,,月木,,,,木,,,月,,,金,,
此花区,高見,１丁目,6番,高見フローラルタウン21号棟,,月木,,,,木,,,月,,,水,,
此花区,高見,１丁目,6番,高見フローラルタウン22号棟,,月木,,,,木,,,月,,,水,,
此花区,高見,１丁目,6番,高見フローラルタウン23号棟,,月木,,,,木,,,月,,,水,,
此花区,高見,１丁目,6番,市営高見住宅24号棟,,,水土,,,木,,,月,,,水,,
此花区,高見,１丁目,6番,市営高見住宅25号棟,,,水土,,,木,,,月,,,,,
此花区,高見,１丁目,6番,市営高見住宅26号棟,,,水土,,,木,,,月,,,,,
此花区,高見,１丁目,6番,イーストスクエア27,,水土,,,,木,,,月,,,水,,
此花区,高見,１丁目,7番,高見フローラルタウン13号棟,,月木,,,,木,,,月,,,金,,
此花区,高見,１丁目,7番,高見フローラルタウン14号棟,,月木,,,,木,,,月,,,金,,
此花区,高見,１丁目,7番,高見フローラルタウン15号棟,,,月木,,,木,,,月,,,金,,
此花区,高見,１丁目,7番,高見フローラルタウン16号棟,,,月木,,,木,,,月,,,金,,
此花区,高見,１丁目,8番,パークシティふれあいのまち17号棟,,月木,,,,木,,,月,,,金,,
此花区,高見,１丁目,8番,パークシティふれあいのまち18号棟,,月木,,,,木,,,月,,,金,,
此花区,高見,２丁目,1番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,2番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,3番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,4番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,5番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,6番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,7番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,8番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,9番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,10番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,11番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,12番,,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,13番,軽四輪車(小さい車)で収集している地域,,火金,,,,木,,,月,,月,,,
此花区,高見,２丁目,13番,上記以外,,,火金,,,木,,,月,,月,,,
此花区,高見,２丁目,14番,,,,火金,,,木,,,月,,月,,,
此花区,高見,３丁目,,,,,火金,,,木,,,月,,月,,,
此花区,伝法,１丁目,1番,千鳥橋団地1号棟,,水土,,,,金,,,火,,,金,,
此花区,伝法,１丁目,4番,市営伝法住宅1号館,,,火金,,,木,,,月,,,,,
此花区,伝法,１丁目,上記以外,,,,水土,,,木,,,月,,,金,,
此花区,伝法,２丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,,木,,,月,,月,,,
此花区,伝法,２丁目,上記以外,,,,火金,,,木,,,月,,月,,,
此花区,伝法,３丁目,,,,,火金,,,木,,,月,,月,,,
此花区,伝法,４丁目,,,,,火金,,,木,,,月,,月,,,
此花区,伝法,５丁目,,,,火金,,,木,,,月,,,月,,,
此花区,伝法,６丁目,1番,めぐみ荘,,火金,,,木,,,月,,,月,,,
此花区,伝法,６丁目,1番,サントピア伝法,,火金,,,木,,,月,,,月,,,
此花区,伝法,６丁目,1番,上記以外,,,火金,,,木,,,月,,月,,,
此花区,伝法,６丁目,2番,,,,火金,木,,,月,,,,月,,,
此花区,伝法,６丁目,3番,伝法団地1号棟 南側,,,火金,,,木,,,月,,月,,,
此花区,伝法,６丁目,3番,伝法団地1号棟 北側,,火金,,,,木,,,月,,月,,,
此花区,伝法,６丁目,3番,伝法団地2･3号棟,,火金,,,,木,,,月,,月,,,
此花区,伝法,６丁目,3番,伝法団地4号棟,,,火金,,,木,,,月,,月,,,
此花区,伝法,６丁目,4番,正連寺,,,火金,,,木,,,月,,月,,,
此花区,伝法,６丁目,4番,上記以外,火金,,,,,木,,,月,,月,,,
此花区,伝法,６丁目,5番,,,火金,,木,,,月,,,,月,,,
此花区,梅香,１丁目,,,,月木,,,,金,,,火,,火,,,
此花区,梅香,２丁目,,,,月木,,,,金,,,火,,火,,,
此花区,梅香,３丁目,,,,月木,,金,,,火,,,,,火,,
此花区,春日出南,１丁目,,,,,水土,,,金,,,火,,,火,,
此花区,春日出南,２丁目,軽四輪車(小さい車)で収集している地域,,,,月木,,,金,,,火,,,火,,
此花区,春日出南,２丁目,上記以外,,,月木,,,金,,,火,,,,火,,
此花区,春日出南,３丁目,3番,キングス夢咲シティ ひかりの街,,月木,,,,土,,,水,,,,,
此花区,春日出中,１丁目,1番,チェルヴォこのはな,,月木,,,金,,,火,,,火,,,
此花区,春日出中,１丁目,6番,朝日商店会側,,月木,,,金,,,火,,,,,,
此花区,春日出中,１丁目,14番,朝日商店会側,,月木,,,金,,,火,,,火,,,
此花区,春日出中,１丁目,上記以外,,,,月木,,金,,,火,,,火,,,
此花区,春日出中,２丁目,,,,月木,,,金,,,火,,,火,,,
此花区,春日出中,３丁目,,,,,月木,,土,,,水,,,火,,,
此花区,春日出北,１丁目,2番,北港通沿い,,月木,,,土,,,水,,,火,,,
此花区,春日出北,１丁目,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,火,,,
此花区,春日出北,１丁目,上記以外,,,,月木,,土,,,水,,,火,,,
此花区,春日出北,２丁目,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,火,,,
此花区,春日出北,２丁目,2番,北港通沿い,,月木,,,土,,,水,,,火,,,
此花区,春日出北,２丁目,上記以外,,,,月木,,土,,,水,,,火,,,
此花区,春日出北,３丁目,,,,,月木,,土,,,水,,,火,,,
此花区,酉島,１丁目,,,,火金,,,木,,,月,,,月,,,水
此花区,酉島,２丁目,,,,火金,,,木,,,月,,,月,,,水
此花区,酉島,３丁目,,,,火金,,,木,,,月,,,月,,,水
此花区,酉島,４丁目,,,,火金,,,木,,,月,,,月,,,水
此花区,酉島,５丁目,,,,火金,,,,土,,,水,月,,,,
此花区,酉島,６丁目,,,,火金,,,,土,,,水,月,,,,
此花区,島屋,１丁目,,,,,月木,,金,,,火,,,,水,,
此花区,島屋,２丁目,,,,火金,,,土,,,水,,,水,,,
此花区,島屋,３丁目,,,,,月木,土,,,水,,,,,水,,
此花区,島屋,５丁目,,,,月木,,,,土,,,水,,,,,
此花区,島屋,６丁目,ルナタワー･ハリウッドプレイス,,,,水土,,,土,,,水,,,,,
此花区,島屋,６丁目,キングマンション大阪ベイ,,,,水土,,,土,,,水,,,,,
此花区,島屋,６丁目,上記以外,,,水土,,,,土,,,水,,,,,
此花区,四貫島,１丁目,,,,月木,,,金,,,火,,,火,,,
此花区,四貫島,２丁目,,,,月木,,,金,,,火,,,火,,,
此花区,朝日,１丁目,,,,月木,,,金,,,火,,,火,,,
此花区,朝日,２丁目,,,,月木,,,金,,,火,,,火,,,
