行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
港区,波除,１丁目,1番,,,水土,,,,火,,,金,,,,月,
港区,波除,１丁目,2番,,,火金,,,,火,,,金,,,,月,
港区,波除,１丁目,4番,,,水土,,,,火,,,金,,,,月,
港区,波除,１丁目,5番,,,火金,,,,火,,,金,,,,月,
港区,波除,１丁目,6番,,,火金,,,,火,,,金,,,,月,
港区,波除,２丁目,1番,,,水土,,,,火,,,金,,,,月,
港区,波除,２丁目,2番,エスリード弁天,,水土,,,,火,,,金,,,,月,
港区,波除,２丁目,2番,市営波除住宅,,,水土,,,火,,,金,,,,月,
港区,波除,２丁目,3番,,,,水土,,,火,,,金,,,,月,
港区,波除,２丁目,4番,,,水土,,,,火,,,金,,,,月,
港区,波除,２丁目,5番,,,水土,,,,火,,,金,,,,月,
港区,波除,２丁目,6番,,,,水土,,,火,,,金,,,,月,
港区,波除,２丁目,7番,,,,水土,,,火,,,金,,,,月,
港区,波除,２丁目,8番,,,,水土,,,火,,,金,,,,月,
港区,波除,２丁目,9番,,,,水土,,,火,,,金,,,,月,
港区,波除,２丁目,10番,,,,水土,,,火,,,金,,,,月,
港区,波除,２丁目,11番,,,,水土,,,火,,,金,,,,月,
港区,波除,２丁目,12番,,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,1番,,,水土,,,,火,,,金,,,,月,
港区,波除,３丁目,2番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,月,
港区,波除,３丁目,2番,上記以外,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,3番,軽四輪車(小さい車)で収集している地域,,水土,,,,火,,,金,,,,月,
港区,波除,３丁目,3番,上記以外,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,4番,,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,5番,,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,6番,,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,7番,,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,8番,,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,9番,,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,10番,,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,11番,,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,12番,,,,水土,,,火,,,金,,,,月,
港区,波除,３丁目,13番,,,,水土,,,火,,,金,,,,月,
港区,波除,４丁目,1番,,,,水土,,,火,,,金,,,,月,
港区,波除,４丁目,2番,,,,水土,,,火,,,金,,,,月,
港区,波除,４丁目,3番,,,,水土,,,火,,,金,,,,月,
港区,波除,４丁目,4番,,,,水土,,,火,,,金,,,,月,
港区,波除,４丁目,5番,,,,水土,,,火,,,金,,,,月,
港区,波除,４丁目,6番,,,,水土,,,火,,,金,,,,月,
港区,波除,４丁目,7番,,,,水土,,,火,,,金,,,,月,
港区,波除,４丁目,8番,,,,水土,,,火,,,金,,,,月,
港区,波除,４丁目,10番,,,,水土,,,火,,,金,,,,月,
港区,波除,５丁目,1番,軽四輪車(小さい車)で収集している地域,,水土 ,,,,火,,,金,,,,月,
