行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
都島区,片町,１丁目,,,火金,,,土,,,水,,,,,,水,
都島区,片町,２丁目,,,火金,,,土,,,水,,,,,,水,
都島区,網島町,,,,火金,,,土,,,水,,,,,,水,
都島区,東野田町,１丁目,,,火金,,,土,,,水,,,,,,水,
都島区,東野田町,２丁目,,,火金,,,土,,,水,,,,,,水,
都島区,東野田町,３丁目,,,火金,,,土,,,水,,,,,,水,
都島区,東野田町,４丁目,,,火金,,,土,,,水,,,,,,土,
都島区,東野田町,５丁目,,,火金,,,木,,,月,,,,,,木,
都島区,中野町,１丁目,1番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,１丁目,2番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,１丁目,3番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,１丁目,4番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,１丁目,5番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,１丁目,6番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,１丁目,7番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,１丁目,8番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,１丁目,9番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,１丁目,11番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,１丁目,12番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,１丁目,13番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,２丁目,1番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,２丁目,2番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,２丁目,3番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,２丁目,4番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,２丁目,5番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,２丁目,6番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,２丁目,7番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,２丁目,8番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,２丁目,9番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,２丁目,10番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,２丁目,11番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,２丁目,12番,1~14･23･24号,火金,,,土,,,水,,,土,,,,
都島区,中野町,２丁目,12番,15･18･21号,火金,,,土,,,水,,,,,,土,
都島区,中野町,２丁目,13番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,２丁目,14番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,２丁目,15番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,２丁目,16番,,火金,,,土,,,水,,,,,,土,
都島区,中野町,３丁目,11番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,３丁目,12番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,３丁目,13番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,３丁目,上記以外,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,10番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,11番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,12番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,13番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,14番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,15番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,16番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,17番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,18番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,19番,,火金,,,土,,,水,,,土,,,,
都島区,中野町,４丁目,上記以外,,火金,,,土,,,水,,,土,,,,
都島区,中野町,５丁目,,,火金,,,木,,,月,,,月,,,,
都島区,都島南通,１丁目,,,火金,,,木,,,月,,,月,,,,
都島区,都島南通,２丁目,1番,,火金,,,木,,,月,,,,,,木,
都島区,都島南通,２丁目,2番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,3番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,4番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,5番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,6番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,7番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,8番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,9番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,10番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,11番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,12番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,13番,,火金,,,木,,,月,,,木,,,,
都島区,都島南通,２丁目,14番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,１丁目,,,火金,,,木,,,月,,,,,,月,
都島区,都島中通,２丁目,,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,1番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,2番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,3番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,4番,6~24･35･43･44号,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,4番,上記以外,火金,,,木,,,月,,,,,,木,
都島区,都島中通,３丁目,5番,,火金,,,木,,,月,,,,,,木,
都島区,都島中通,３丁目,6番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,7番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,8番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,9番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,10番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,11番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,12番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,13番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,14番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,15番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,16番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,17番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,18番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,19番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,20番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,21番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,22番,,火金,,,木,,,月,,,木,,,,
都島区,都島中通,３丁目,23番,,火金,,,木,,,月,,,木,,,,
都島区,都島本通,１丁目,,,火金,,,木,,,月,,,,,,月,
都島区,都島本通,２丁目,,,火金,,,木,,,月,,,,,,月,
