行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
浪速区,下寺,１丁目,,,,火金,,,木,,,月,,,水,,,
浪速区,下寺,２丁目,9番,BELSTA夕陽丘,,火金,,,木,,,月,,,,,,
浪速区,下寺,２丁目,上記以外,,,火金,,,木,,,月,,,,水,,
浪速区,下寺,３丁目,,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋東,１丁目,,,,火金,,,木,,,月,,,水,,,
浪速区,日本橋東,２丁目,,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋東,３丁目,,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,３丁目,1番,,,火金,,,木,,,月,,,水,,,
浪速区,日本橋,３丁目,2番,,,火金,,,木,,,月,,,水,,,
浪速区,日本橋,３丁目,3番,,,火金,,,木,,,月,,,水,,,
浪速区,日本橋,３丁目,4番,,,火金,,,木,,,月,,,水,,,
浪速区,日本橋,３丁目,5番,,,火金,,,木,,,月,,,水,,,
浪速区,日本橋,３丁目,6番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,３丁目,7番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,３丁目,8番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,４丁目,1番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,４丁目,2番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,４丁目,3番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,４丁目,4番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,４丁目,5番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,４丁目,6番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,４丁目,7番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,４丁目,8番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,４丁目,9番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,４丁目,10番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,４丁目,11番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,４丁目,12番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,４丁目,13番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,４丁目,14番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,４丁目,15番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,４丁目,16番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,４丁目,17番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋,５丁目,1番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,５丁目,2番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,５丁目,3番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,５丁目,4番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,５丁目,5番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,５丁目,6番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,５丁目,7番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,５丁目,8番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,５丁目,9番,,,火金,,,木,,,月,,,,水,,
浪速区,日本橋,５丁目,10番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,11番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,12番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,13番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,14番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,15番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,16番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,16番,日本橋住宅4･5号館,,火金,,,木,,,月,,,,,,
浪速区,日本橋,５丁目,17番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,18番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,19番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,20番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋,５丁目,20番,日東住宅3号館,,火金,,,木,,,月,,,,,,
浪速区,日本橋,５丁目,21番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋西,１丁目,1番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋西,１丁目,2番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋西,１丁目,3番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋西,１丁目,4番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋西,１丁目,5番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋西,１丁目,6番,,,火金,,,木,,,月,,,土,,,
浪速区,日本橋西,１丁目,7番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋西,１丁目,8番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋西,１丁目,9番,,,火金,,,木,,,月,,,,土,,
浪速区,日本橋西,２丁目,,,,火金,,,木,,,月,,,,土,,
