行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
西成区,山王,１丁目,1番,,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,2番,,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,3番,,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,4番,,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,5番,8~16号,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,5番,17~24号,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,5番,25~31号,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,6番,1~9号,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,6番,10~16号,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,6番,17~30号,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,7番,1~8･18号,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,7番,9~17号,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,7番,19~26号,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,7番,27~30号,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,8番,,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,9番,,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,10番,,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,11番,,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,12番,1~7号,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,12番,8~10号,,月木,,,水,,,土,,,,水,,
西成区,山王,１丁目,12番,11~22号,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,13番,,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,14番,,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,15番,,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,16番,,,月木,,,水,,,土,,,水,,,
西成区,山王,１丁目,17番,,,月木,,,水,,,土,,,水,,,
西成区,山王,２丁目,1番,19~31号,,月木,,,水,,,土,,,水,,,
西成区,山王,２丁目,2番,,,月木,,,水,,,土,,,水,,,
西成区,山王,２丁目,3番,,,月木,,,水,,,土,,,水,,,
西成区,山王,２丁目,4番,,,月木,,,水,,,土,,,水,,,
西成区,山王,２丁目,5番,,,月木,,,水,,,土,,,水,,,
西成区,山王,２丁目,6番,,,月木,,,水,,,土,,,水,,,
西成区,山王,２丁目,7番,1~14号,,月木,,,水,,,土,,,水,,,
西成区,山王,２丁目,7番,15~26号,,月木,,,水,,,土,,,,水,,
西成区,山王,２丁目,8番,2~26号,,月木,,,水,,,土,,,,水,,
西成区,山王,２丁目,9番,2~9号,,月木,,,水,,,土,,,,水,,
