行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
西淀川区,柏里,１丁目,,,,月木,,,土,,,水,,,,土,,
西淀川区,柏里,２丁目,,,,月木,,土,,,水,,,土,,,,
西淀川区,柏里,３丁目,,,,月木,,,土,,,水,,土,,,,
西淀川区,花川,１丁目,,,,月木,,土,,,水,,,,,土,,
西淀川区,花川,２丁目,,,,月木,,,土,,,水,,,,土,,
西淀川区,歌島,１丁目,,,,月木,,,,金,,,火,,,水,,
西淀川区,歌島,２丁目,,,,月木,,,,金,,,火,,,金,,
西淀川区,歌島,３丁目,プラザ歌島,,,,月木,,,金,,,火,,,金,,
西淀川区,歌島,３丁目,上記以外,,,月木,,,,金,,,火,,,金,,
西淀川区,歌島,４丁目,,,,月木,,,,金,,,火,,,水,,
西淀川区,野里,１丁目,1番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,2番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,3番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,4番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,5番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,6番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,7番,20号,,,月木,,金,,,火,,,,金,,
西淀川区,野里,１丁目,7番,上記以外,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,8番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,9番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,10番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,11番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,12番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,13番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,14番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,15番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,16番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,17番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,18番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,19番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,20番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,21番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,22番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,23番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,24番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,25番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,26番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,27番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,28番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,29番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,30番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,31番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,１丁目,32番,,,月木,,,金,,,火,,,,金,,
西淀川区,野里,２丁目,1番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,2番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,3番,,,,月木,,金,,,火,,,,金,,
西淀川区,野里,２丁目,4番,,,,月木,,金,,,火,,,,金,,
西淀川区,野里,２丁目,5番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,6番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,7番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,8番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,9番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,10番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,11番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,12番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,13番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,14番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,15番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,16番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,17番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,18番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,19番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,20番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,21番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,22番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,23番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,24番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,２丁目,25番,,月木,,,金,,,火,,,,金,,,
西淀川区,野里,３丁目,,,,月木,,,金,,,火,,金,,,,
西淀川区,姫里,１丁目,,,,,月木,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,1番,,,月木,,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,2番,,,月木,,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,3番,,,月木,,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,4番,,,月木,,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,5番,,,月木,,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,6番,,,,月木,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,7番,,,,月木,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,8番,,,,月木,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,9番,,,,月木,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,10番,,,,月木,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,11番,,,,月木,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,12番,,,,月木,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,13番,,,,月木,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,14番,,,,月木,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,15番,,,月木,,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,16番,,,月木,,,金,,,火,,,,金,,
西淀川区,姫里,２丁目,17番,,,月木,,,金,,,火,,,,金,,
西淀川区,姫里,３丁目,ワンダースクエア,,,,火金,,,木,,,月,,,,,
西淀川区,姫里,３丁目,上記以外,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,１丁目,,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,２丁目,,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,1番,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,2番,9号･11号,,火金,,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,2番,上記以外,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,3番,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,4番,13号･14号,,火金,,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,4番,上記以外,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,5番,5号･10号,,火金,,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,5番,上記以外,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,6番,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,7番,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,8番,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,9番,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,10番,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,11番,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,12番,上記以外,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,３丁目,13番,,,,火金,,,木,,,月,,,月,,
西淀川区,姫島,４丁目,1番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,2番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,3番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,4番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,5番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,6番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,7番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,8番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,9番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,10番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,11番,ハイネスコトー姫島公園･キングマンション姫島,,火金,,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,11番,上記以外,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,12番,緑陰道路に面した地域,,火金,,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,12番,上記以外,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,13番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,14番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,15番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,16番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,17番,緑陰道路に面した地域,,火金,,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,17番,上記以外,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,18番,緑陰道路に面した地域,,火金,,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,18番,上記以外,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,19番,緑陰道路に面した地域,,火金,,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,19番,上記以外,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,20番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,21番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,22番,緑陰道路に面した地域,,火金,,,,木,,,月,,,木,,
西淀川区,姫島,４丁目,22番,上記以外,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,５丁目,,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,1番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,2番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,3番,5号･43号･44号,,火金,,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,3番,上記以外,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,4番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,5番,市営姫島第2住宅,,火金,,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,5番,上記以外,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,6番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,7番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,8番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,9番,,,,火金,,,木,,,月,,,木,,
西淀川区,姫島,６丁目,10番,,,,火金,,,木,,,月,,,木,,
西淀川区,福町,１丁目,1番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,2番,8~16号,,,火金,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,2番,上記以外,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,3番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,4番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,5番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,6番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,7番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,8番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,9番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,10番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,11番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,１丁目,12番,,,火金,,,,木,,,月,,,月,,水
西淀川区,福町,２丁目,1番,,,火金,,,木,,,月,,,,月,,水
西淀川区,福町,２丁目,2番,,,火金,,,木,,,月,,,,月,,水
西淀川区,福町,２丁目,3番,,,,火金,,木,,,月,,,,月,,水
西淀川区,福町,２丁目,4番,,,火金,,,木,,,月,,,,月,,水
西淀川区,福町,２丁目,5番,,,火金,,,木,,,月,,,,月,,水
西淀川区,福町,２丁目,6番,,,火金,,,木,,,月,,,,月,,水
西淀川区,福町,２丁目,7番,,,火金,,,木,,,月,,,,月,,水
西淀川区,福町,２丁目,8番,,,火金,,,木,,,月,,,,月,,水
