行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
住之江区,安立,１丁目,1番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,2番,1~12号･25~30号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,2番,13~24号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,3番,1~14号･26･27号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,3番,15~25号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,4番,3~5号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,4番,6~21号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,5番,1･2･4~22･29~35号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,5番,3･23~28号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,6番,5~9号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,6番,10~18号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,7番,1･2･8~11･22~25号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,7番,3~7号･12~21号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,8番,1~10･13･16~22号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,8番,12･14･15号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,9番,,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,10番,1~18･31~37号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,10番,19~30号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,11番,1~16･22~27号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,11番,17~21･28~41号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,12番,2･3･9･10･33･34号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,12番,4~8･11~27号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,13番,1･29･30号,,火金,,,月,,,木,,,,水,,
住之江区,安立,１丁目,13番,2~28号,,火金,,,月,,,木,,,水,,,
住之江区,安立,１丁目,14番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,1番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,2番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,3番,1~19号,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,3番,22号,,火金,,,月,,,木,,,,水,,
住之江区,安立,２丁目,4番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,5番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,6番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,7番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,8番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,9番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,10番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,２丁目,11番,,,火金,,,月,,,木,,,水,,,
住之江区,安立,３丁目,,,,火金,,,月,,,木,,,水,,,
住之江区,安立,４丁目,1番,2･3･5･6･13~20号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,1番,4号,,火金,,,月,,,木,,,月,,,
住之江区,安立,４丁目,1番,7~12号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,2番,5~23号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,2番,4号,,火金,,,月,,,木,,,月,,,
住之江区,安立,４丁目,3番,1~6･13~17号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,3番,7~12号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,4番,1~9号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,4番,10~23号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,5番,1~12号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,5番,13~18号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,6番,,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,7番,,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,8番,1~13号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,8番,14~19号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,9番,1~15号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,9番,16~31号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,10番,1~11号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,10番,12~16号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,11番,1~10･22号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,11番,11~21号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,12番,,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,13番,14~19号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,13番,20~36号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,14番,7~14･23~31号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,14番,12号,,水土,,,月,,,木,,,月,,,
住之江区,安立,４丁目,14番,15~22号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,15番,,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,16番,2~17号,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,16番,18~23号,,火金,,,,月,,木,,,月,,,
住之江区,安立,４丁目,17番,,,,火金,,月,,,木,,,月,,,
住之江区,安立,４丁目,18番,,,,火金,,月,,,木,,,月,,,
住之江区,泉,１丁目,,,,火金,,,,月,,,木,,木,,,
住之江区,泉,２丁目,,,,火金,,,,月,,,木,,木,,,
住之江区,北加賀屋,１丁目,1番,,,月木,,,,火,,,金,,金,,,
住之江区,北加賀屋,１丁目,2番,,,月木,,,,火,,,金,,金,,,
住之江区,北加賀屋,１丁目,3番,,,月木,,,,火,,,金,,金,,,
住之江区,北加賀屋,１丁目,4番,,,月木,,,,火,,,金,,金,,,
住之江区,北加賀屋,１丁目,5番,,,月木,,,,火,,,金,,金,,,
住之江区,北加賀屋,１丁目,6番,,,月木,,,,火,,,金,,金,,,
住之江区,北加賀屋,１丁目,7番,,,月木,,,,火,,,金,,金,,,
住之江区,北加賀屋,１丁目,8番,2~16･28号,,月木,,,,火,,,金,,金,,,
住之江区,北加賀屋,１丁目,8番,17･21･24~27号,,月木,,,火,,,,金,,金,,,
住之江区,北加賀屋,１丁目,9番,1号･17~25号,,月木,,,,火,,,金,,金,,,
住之江区,北加賀屋,１丁目,9番,2･5~11･13号,,月木,,,火,,,,金,,金,,,
住之江区,北加賀屋,１丁目,10番,1~17号･22~29号,,月木,,,,火,,,金,,金,,,
