行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
住吉区,大領,１丁目,1番,,,,火金,,土,,,水,,,,,月,
住吉区,大領,１丁目,2番,,,,火金,,土,,,水,,,,,月,
住吉区,大領,１丁目,3番,1号･19~33号,,,火金,,土,,,水,,,,,月,
住吉区,大領,１丁目,3番,2~15号,,,火金,,土,,,,水,,,,月,
住吉区,大領,２丁目,1番,,,,火金,,土,,,,水,,,,月,
住吉区,大領,２丁目,2番,11~13号,,,火金,,土,,,,水,,,,月,
住吉区,大領,２丁目,2番,15･22･26号,,,火金,,土,,,水,,,,,月,
住吉区,大領,２丁目,3番,,,,火金,,土,,,,水,,,,月,
住吉区,大領,２丁目,4番,,,,火金,,土,,,,水,,,,月,
住吉区,大領,２丁目,5番,,,,火金,,土,,,水,,,,,月,
住吉区,大領,２丁目,6番,1~7号･25~29号,,,火金,,土,,,水,,,,,月,
住吉区,大領,２丁目,6番,8~24号,,,火金,,土,,,,水,,,,月,
住吉区,大領,２丁目,7番,1~7･8号,,,火金,,土,,,,水,,,,月,
住吉区,大領,２丁目,7番,10~16号,,,火金,,土,,,水,,,,,月,
住吉区,大領,２丁目,8番,,,,火金,,土,,,,水,,,,月,
住吉区,大領,２丁目,9番,,,,火金,,土,,,,水,,,,月,
住吉区,大領,３丁目,,,,,火金,,土,,,,水,,,,月,
住吉区,大領,４丁目,1番,,,,火金,,,土,,,水,,,,月,
住吉区,大領,４丁目,2番,,,,火金,,,土,,,水,,,,月,
住吉区,大領,４丁目,3番,,,,火金,,,土,,,水,,,,月,
住吉区,大領,４丁目,4番,1~10･18~30号,,,火金,,,土,,,水,,,,月,
