行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
大正区,三軒家東,１丁目,1番,,,水土,,,,月,,,木,,,,金,
大正区,三軒家東,１丁目,2番,,,水土,,,,月,,,木,,,,金,
大正区,三軒家東,１丁目,3番,,,水土,,,,月,,,木,,,,金,
大正区,三軒家東,１丁目,4番,,,水土,,,,月,,,木,,,,金,
大正区,三軒家東,１丁目,5番,,,水土,,,,月,,,木,,,,金,
大正区,三軒家東,１丁目,6番,,,水土,,,,月,,,木,,,,金,
大正区,三軒家東,１丁目,7番,,,水土,,,,月,,,木,,,,金,
大正区,三軒家東,１丁目,8番,23~28号,,水土,,,,月,,,木,,,,金,
大正区,三軒家東,１丁目,8番,上記以外,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,9番,12~20号,,水土,,,,月,,,木,,,,金,
大正区,三軒家東,１丁目,9番,上記以外,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,10番,,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,11番,,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,12番,,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,13番,,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,14番,,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,15番,,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,16番,北側,,水土,,,,月,,,木,,金,,,
大正区,三軒家東,１丁目,16番,上記以外,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,17番,,,水土,,,,月,,,木,,金,,,
大正区,三軒家東,１丁目,18番,,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,19番,,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,20番,,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,１丁目,21番,,,水土,,,,月,,,木,,,金,,
大正区,三軒家東,２丁目,1番,,,,火金,,,月,,,木,,,金,,
大正区,三軒家東,２丁目,2番,,,,火金,,,月,,,木,,,金,,
