行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
天王寺区,味原町,,,,,月木,,,火,,,金,,,,,金,
天王寺区,味原本町,,,,,月木,,,火,,,金,,,,,金,
天王寺区,生玉町,,,,,火金,,,月,,,木,,,,,木,
天王寺区,生玉寺町,,,,,火金,,,月,,,木,,,,,木,
天王寺区,生玉前町,,,,,火金,,,月,,,木,,,,,木,
天王寺区,石ケ辻町,,,,,火金,,,月,,,木,,,,,木,
天王寺区,上汐,３丁目,,,,火金,,,月,,,木,,,,,木,
天王寺区,上汐,４丁目,,,,火金,,,月,,,木,,,,,木,
天王寺区,上汐,５丁目,,,,火金,,,月,,,木,,,,,木,
天王寺区,上汐,６丁目,,,,火金,,,月,,,木,,,,,木,
天王寺区,上之宮町,,,,,火金,,,月,,,木,,,,,金,
天王寺区,上本町,１丁目,,,,火金,,,水,,,土,,,,,木,
天王寺区,上本町,２丁目,,,,火金,,,水,,,土,,,,,木,
天王寺区,上本町,３丁目,,,,火金,,,水,,,土,,,,,木,
天王寺区,上本町,４丁目,,,,火金,,,水,,,土,,,,,木,
天王寺区,上本町,５丁目,,,,火金,,,水,,,土,,,,,木,
天王寺区,上本町,６丁目,1番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,６丁目,2番,,,火金,,,水,,,土,,,,,木,
天王寺区,上本町,６丁目,3番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,６丁目,4番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,６丁目,5番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,６丁目,6番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,６丁目,7番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,６丁目,8番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,６丁目,9番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,７丁目,1番,,,火金,,,月,,,木,,,,,金,
天王寺区,上本町,７丁目,2番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,７丁目,3番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,７丁目,4番,,,火金,,,月,,,木,,,,,金,
天王寺区,上本町,８丁目,1番,,,火金,,,月,,,木,,,,,金,
天王寺区,上本町,８丁目,2番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,８丁目,3番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,８丁目,4番,,,火金,,,月,,,木,,,,,金,
天王寺区,上本町,８丁目,5番,,,火金,,,月,,,木,,,,,金,
天王寺区,上本町,８丁目,6番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,８丁目,7番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,８丁目,8番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,８丁目,9番,,,火金,,,月,,,木,,,,,金,
天王寺区,上本町,9丁目,1番,,,月木,,,火,,,金,,,,,金,
天王寺区,上本町,9丁目,2番,,,火金,,,月,,,木,,,,,木,
天王寺区,上本町,9丁目,3番,,,火金,,,月,,,木,,,,,木,
