行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域
鶴見区,放出東,１丁目,,,,火金,,,木,,,月,,,,,１３木,水
鶴見区,放出東,２丁目,,,,火金,,,木,,,月,,,,,１３木,水
鶴見区,放出東,３丁目,大阪ブライトパークス,,,,火金,,木,,,月,,,,,１３木,水
鶴見区,放出東,３丁目,上記以外,,,火金,,,木,,,月,,,,,１３木,水
鶴見区,今津南,１丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,,木,,,月,,,,１３木,水
鶴見区,今津南,１丁目,上記以外,,,火金,,,木,,,月,,,,,１３木,水
鶴見区,今津南,２丁目,1番,,,火金,,,,木,,,月,,,,１３木,水
鶴見区,今津南,２丁目,2番,,,火金,,,,木,,月,,,,金,,水
鶴見区,今津南,２丁目,3番,,,火金,,,,木,,,月,,,,１３木,水
鶴見区,今津南,２丁目,4番,,,火金,,,,木,,月,,,,金,,水
鶴見区,今津南,２丁目,5番,,,火金,,,,木,,,月,,,,１３木,水
鶴見区,今津南,２丁目,6番,,,火金,,,,木,,月,,,,金,,水
鶴見区,今津南,２丁目,7番,,,火金,,,,木,,,月,,,,１３木,水
鶴見区,今津南,２丁目,8番,,,火金,,,,木,,月,,,,金,,水
鶴見区,今津南,２丁目,9番,,,火金,,,,木,,,月,,,,１３木,水
鶴見区,今津南,２丁目,10番,,,火金,,,,木,,月,,,,金,,水
鶴見区,今津南,３丁目,,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津南,４丁目,軽四輪車(小さい車)で収集している地域,,,火金,,木,,,,,月,,金,,,水
鶴見区,今津南,４丁目,上記以外,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津中,１丁目,,,,火金,,,木,,,月,,,,,１３木,水
鶴見区,今津中,２丁目,1番,,,火金,,,,木,,,月,,,,１３木,水
鶴見区,今津中,２丁目,2番,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津中,２丁目,3番,,,火金,,,,木,,,月,,,,１３木,水
鶴見区,今津中,２丁目,4番,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津中,２丁目,5番,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津中,３丁目,,,火金,,,,,木,,,月,,,金,,水
鶴見区,今津中,４丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津中,４丁目,上記以外,,火金,,,,,木,,,月,,,金,,水
鶴見区,今津中,５丁目,軽四輪車(小さい車)で収集している地域,,,火金,,木,,,,月,,,金,,,水
鶴見区,今津中,５丁目,上記以外,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津北,１丁目,軽四輪車(小さい車)で収集している地域,,,火金,,木,,,,,月,,,,１３木,水
鶴見区,今津北,１丁目,上記以外,,,火金,,,木,,,月,,,,,１３木,水
鶴見区,今津北,２丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津北,２丁目,1番,7~20号,,火金,,,,木,,,月,,,金,,水
鶴見区,今津北,２丁目,1番,22~36号,,火金,,,,木,月,,,,,,１３木,水
鶴見区,今津北,２丁目,2番,,,火金,,,,木,月,,,,,,１３木,水
鶴見区,今津北,２丁目,3番,,,火金,,,,木,月,,,,,,１３木,水
鶴見区,今津北,２丁目,4番,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津北,２丁目,5番,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津北,２丁目,6番,,,火金,,,,木,月,,,,,,１３木,水
鶴見区,今津北,２丁目,7番,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津北,２丁目,8番,,,火金,,,,木,月,,,,,,１３木,水
鶴見区,今津北,２丁目,9番,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津北,２丁目,10番,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津北,３丁目,,,,火金,,,,木,,,月,,,金,,水
鶴見区,今津北,４丁目,,,火金,,,,,木,,,月,,,金,,水
鶴見区,今津北,５丁目,軽四輪車(小さい車)で収集している地域,,,火金,,木,,,,,月,,金,,,水
鶴見区,今津北,５丁目,上記以外,,火金,,,,,木,,,月,,,金,,水
鶴見区,鶴見,１丁目,森都OSAKAイーストヴィル･ウエストヴィル･森都OSAKAイーストヴィル,,,,月木,,,火,,,金,,,水,,土
鶴見区,鶴見,１丁目,6番,76~98号,,月木,,,,火,,,金,,,水,,
鶴見区,鶴見,１丁目,上記以外,,,月木,,,,火,,,金,,,水,,土
鶴見区,鶴見,２丁目,軽四輪車(小さい車)で収集している地域,,,月木,,,,火,,,金,,水,,,土
鶴見区,鶴見,２丁目,上記以外,,,月木,,,,火,,,金,,,水,,土
鶴見区,鶴見,３丁目,軽四輪車(小さい車)で収集している地域,,月木,,,,,火,,,金,,水,,,土
鶴見区,鶴見,３丁目,上記以外,,,月木,,,,火,,,金,水,,,,土
鶴見区,鶴見,４丁目,,,,月木,,,,火,,,金,,,月,,土
鶴見区,鶴見,５丁目,,,,月木,,,,火,,,金,,,月,,土
鶴見区,鶴見,６丁目,ウェリス鶴見緑地,,,月木,,,,火,,,金,,,,土,水
鶴見区,鶴見,６丁目,上記以外,,,月木,,,,火,,,金,,,月,,土
鶴見区,緑,１丁目,,,,月木,,,,火,,,金,,,,土,水
鶴見区,緑,２丁目,,,,月木,,,,火,,,金,,,,土,水
鶴見区,緑,３丁目,,,,月木,,,,火,,,金,,,,土,水
鶴見区,緑,４丁目,軽四輪車(小さい車)で収集している地域,,,,月木,,,火,,,金,,,,土,水
鶴見区,緑,４丁目,上記以外,,,月木,,,,火,,,金,,,,土,水
鶴見区,横堤,１丁目,軽四輪車(小さい車)で収集している地域,,,,月木,,,土,,,水,,,水,,
鶴見区,横堤,１丁目,上記以外,,,月木,,,,土,,,水,,,水,,
鶴見区,横堤,２丁目,,,月木,,,,,土,,,水,,金,,,
鶴見区,横堤,３丁目,,,,月木,,,,土,,,水,,金,,,
鶴見区,横堤,４丁目,,,,月木,,,,土,,,水,,,月,,火
鶴見区,横堤,５丁目,,,,月木,,,,土,,,水,,,月,,火
鶴見区,諸口,１丁目,,,火金,,,,,土,,,水,,,,金,木
鶴見区,諸口,２丁目,1番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,２丁目,2番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,２丁目,3番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,２丁目,4番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,２丁目,5番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,２丁目,6番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,２丁目,7番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,２丁目,8番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,２丁目,9番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,２丁目,10番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,２丁目,11番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,２丁目,12番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,２丁目,13番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,２丁目,14番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,２丁目,15番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,３丁目,軽四輪車(小さい車)で収集している地域,,火金,,,,,土,,,水,,,,金,木
鶴見区,諸口,３丁目,上記以外,,火金,,,,,土,,,水,,,,金,木
鶴見区,諸口,４丁目,1番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,４丁目,2番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,４丁目,3番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,４丁目,4番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,４丁目,5番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,４丁目,6番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,４丁目,7番,,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,４丁目,8番,15~44号,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,４丁目,8番,上記以外,,水土,,,,金,,,火,,,,金,木
鶴見区,諸口,４丁目,9番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,４丁目,10番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,４丁目,11番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,４丁目,12番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,４丁目,13番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,４丁目,14番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,４丁目,15番,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,５丁目,軽四輪車(小さい車)で収集している地域,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,５丁目,上記以外,,,水土,,,,金,,,火,,金,,,木
鶴見区,諸口,６丁目,軽四輪車(小さい車)で収集している地域,,,火金,,,,土,,,水,,金,,,木
鶴見区,諸口,６丁目,上記以外,,火金,,,,,土,,,水,,金,,,木
鶴見区,徳庵,１丁目,1番,,,水土,,,,金,,,火,,,,金,木
鶴見区,徳庵,１丁目,2番,1~11号･60~72号,,水土,,,,金,,,火,,,,金,木
鶴見区,徳庵,１丁目,2番,12~59号,,水土,,,,金,,,火,,金,,,木
鶴見区,徳庵,１丁目,軽四輪車(小さい車)で収集している地域,,,水土,,,,金,,火,,,金,,,木
鶴見区,徳庵,１丁目,メロディーハイムジェイズコート,,,火金,,,,金,,,火,,,,,木
鶴見区,徳庵,２丁目,軽四輪車(小さい車)で収集している地域,,,,月木,,,金,,,火,,,金,,水
鶴見区,徳庵,２丁目,上記以外,,,,月木,,金,,,火,,,,金,,水
鶴見区,中茶屋,１丁目,,,,,月木,,金,,,火,,,,金,,水
鶴見区,中茶屋,２丁目,,,,,月木,,金,,,火,,,,金,,水
鶴見区,安田,１丁目,,,,,月木,,金,,,火,,,,金,,水
鶴見区,安田,２丁目,軽四輪車(小さい車)で収集している地域,,,,月木,,,金,火,,,,,金,,水
鶴見区,安田,２丁目,レオパレス　マ･メゾン,,,水土,,金,,,火,,,,,金,,木
鶴見区,安田,２丁目,上記以外,,,,月木,,金,,,火,,,,金,,水
鶴見区,安田,３丁目,軽四輪車(小さい車)で収集している地域,,,月木,,,,金,,,火,,,金,,水
鶴見区,安田,３丁目,上記以外,,月木,,,,金,,,火,,,,金,,水
鶴見区,安田,４丁目,8番,ソレアード鶴見,,,月木,,金,,,火,,,,金,,水
鶴見区,安田,４丁目,9番,メゾンプロープル,,,月木,,金,,,火,,,,金,,水
鶴見区,安田,４丁目,上記以外,,,月木,,,金,,,火,,,,金,,水
鶴見区,浜,２丁目,軽四輪車(小さい車)で収集している地域,,,月木,,,金,,,,火,,金,,,水
鶴見区,浜,２丁目,サンクタス鶴見緑地,,,火金,,,金,,,火,,,金,,,水
鶴見区,浜,２丁目,上記以外,,月木,,,,金,,,火,,,金,,,水
鶴見区,浜,３丁目,3番,4号･10号･19号,,,月木,,,金,,,火,金,,,,水
鶴見区,浜,３丁目,11番,サンライト鶴見,,,月木,,,金,,,火,金,,,,水
鶴見区,浜,３丁目,11番,シェモア鶴見緑地,,,月木,,,金,,,火,金,,,,水
鶴見区,浜,３丁目,軽四輪車(小さい車)で収集している地域,,,月木,,,,金,,,火,金,,,,水
鶴見区,浜,３丁目,上記以外,,,月木,,,金,,,火,,,金,,,水
鶴見区,浜,４丁目,軽四輪車(小さい車)で収集している地域,,,,月木,,,金,,,火,金,,,,水
鶴見区,浜,４丁目,上記以外,,月木,,,,金,,,火,,,金,,,水
鶴見区,浜,５丁目,,,月木,,,,,火,,,火,,,金,,火
鶴見区,茨田大宮,１丁目,軽四輪車(小さい車)で収集している地域,,,,月木,,,金,,,火,,,金,,水
鶴見区,茨田大宮,１丁目,上記以外,,月木,,,,金,,,火,,,,金,,水
鶴見区,茨田大宮,２丁目,,,,水土,,,,金,,,火,,,金,,木
鶴見区,茨田大宮,３丁目,,,,水土,,,,金,,,火,,,金,,木
鶴見区,茨田大宮,４丁目,,,,水土,,,,金,,,火,,,金,,木
鶴見区,焼野,１丁目,軽四輪車(小さい車)で収集している地域,,月木,,,,,火,,金,,,金,,,水
鶴見区,焼野,１丁目,上記以外,,月木,,,,,火,,金,,,,金,,水
鶴見区,焼野,２丁目,軽四輪車(小さい車)で収集している地域,,,月木,,,,火,,金,,,,金,,水
鶴見区,焼野,２丁目,上記以外,,月木,,,,,火,,金,,,,金,,水
鶴見区,焼野,３丁目,,,,,月木,,,火,,金,,,金,,,水
