行政区,町名,丁目,番地,備考,普通ごみ,普通ごみ_午前,普通ごみ_午後,資源ごみ,資源ごみ_午前,資源ごみ_午後,容器包装プラスチック,容器包装プラスチック_午前,容器包装プラスチック_午後,古紙衣類,古紙衣類_午前,古紙衣類_午後,古紙衣類_コミュニティ回収実施地域,ペットボトル_コミュニティ回収実施地域,,,
淀川区,西中島,１丁目,1番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,1,
淀川区,西中島,１丁目,1番,上記以外,,月木,,,,土,,,水,,,,土,,,2,
淀川区,西中島,１丁目,2番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,3,
淀川区,西中島,１丁目,2番,上記以外,,月木,,,,土,,,水,,,,土,,,4,
淀川区,西中島,１丁目,3番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,5,
淀川区,西中島,１丁目,3番,1~10号･12~17号,,月木,,,,土,,,水,,,,土,,,6,
淀川区,西中島,１丁目,3番,11号,,月木,,,土,,,水,,,,,土,,,7,
淀川区,西中島,１丁目,4番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,8,
淀川区,西中島,１丁目,4番,1~17号･19~29号,,月木,,,,土,,,水,,,,土,,,9,
淀川区,西中島,１丁目,4番,18号,,月木,,,土,,,水,,,,,土,,,10,
淀川区,西中島,１丁目,5番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,11,
淀川区,西中島,１丁目,5番,上記以外,,月木,,,,土,,,水,,,,土,,,12,
淀川区,西中島,１丁目,6番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,13,
淀川区,西中島,１丁目,6番,上記以外,,月木,,,,土,,,水,,,,土,,,14,
淀川区,西中島,１丁目,7番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,15,
淀川区,西中島,１丁目,7番,上記以外,,月木,,,,土,,,水,,,,土,,,16,
淀川区,西中島,１丁目,8番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,17,
淀川区,西中島,１丁目,8番,上記以外,,月木,,,,土,,,水,,,,土,,,18,
淀川区,西中島,１丁目,9番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,19,
淀川区,西中島,１丁目,9番,5~20番,,月木,,,,土,,,水,,,,土,,,20,
淀川区,西中島,１丁目,9番,28号,,月木,,,土,,,水,,,,,土,,,21,
淀川区,西中島,１丁目,10番,,,月木,,,,土,,,水,,,,土,,,22,
淀川区,西中島,１丁目,11番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,23,
淀川区,西中島,１丁目,11番,1~15番･17~34番,,月木,,,,土,,,水,,,,土,,,24,
淀川区,西中島,１丁目,11番,16番,,月木,,,土,,,水,,,,,土,,,25,
淀川区,西中島,１丁目,12番,,,月木,,,,土,,,水,,,,土,,,26,
淀川区,西中島,１丁目,13番,,,月木,,,,土,,,水,,,,土,,,27,
淀川区,西中島,１丁目,14番,,,月木,,,,土,,,水,,,,土,,,28,
淀川区,西中島,１丁目,15番,,,月木,,,,土,,,水,,,,土,,,29,
淀川区,西中島,２丁目,1番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,30,
淀川区,西中島,２丁目,1番,上記以外,,月木,,,,土,,,水,,,,土,,,31,
淀川区,西中島,２丁目,2番,5号,,月木,,,土,,,水,,,,,土,,,32,
淀川区,西中島,２丁目,2番,19号,,月木,,,,土,,,水,,,,土,,,33,
淀川区,西中島,２丁目,3番,11号,,月木,,,土,,,水,,,,,土,,,35,
淀川区,西中島,２丁目,3番,15号,,月木,,,土,,,水,,,,,土,,,34,
淀川区,西中島,２丁目,4番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,36,
淀川区,西中島,２丁目,4番,上記以外,,月木,,,,土,,,水,,,,土,,,37,
淀川区,西中島,２丁目,5番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,38,
淀川区,西中島,２丁目,5番,上記以外,,月木,,,,土,,,水,,,,土,,,39,
淀川区,西中島,２丁目,6番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,40,
淀川区,西中島,２丁目,6番,上記以外,,月木,,,,土,,,水,,,,土,,,41,
淀川区,西中島,２丁目,7番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,42,
淀川区,西中島,２丁目,7番,上記以外,,月木,,,,土,,,水,,,,土,,,43,
淀川区,西中島,２丁目,8番,軽四輪車(小さい車)で収集している地域,,,月木,,,土,,,水,,,,土,,,44,
